mps_name,constituency,office_budget,reason_for_budget_set,office_spend,remaining_office_budget,staffing_budget,reason_for_budget_staffing_budget,staffing_spend,remaining_staffing_budget,accommodation_budget,reason_for_budget_accommodation_budget,accommodation_spend,remaining_accommodation_budget,travel_and_subsistence_uncapped,other_costs_uncapped,pid
Aaron Bell,Newcastle-under-Lyme BC,30570.00,Standard non-London area budget,29242.07,1327.93,236170.00,Standard non-London area budget,222052.36,14117.64,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",41419.42,3780.58,15161.84,0.00,4837
Abena Oppong-Asare,Erith and Thamesmead BC,33840.00,Standard London area budget,23522.11,10317.89,252870.00,Standard London area budget,229901.96,22968.04,0.00,,0.00,0.00,5.40,912.15,4820
Adam Afriyie,Windsor CC,33840.00,Standard London area budget,690.00,33150.00,252870.00,Standard London area budget,142626.62,110243.38,0.00,,0.00,0.00,0.00,0.00,1586
Adam Holloway,Gravesham CC,30570.00,Standard non-London area budget,21506.75,9063.25,236170.00,Standard non-London area budget,195803.90,40366.10,0.00,,0.00,0.00,6255.88,0.00,1522
Afzal Khan,"Manchester, Gorton BC",30570.00,Standard non-London area budget,19193.84,11376.16,236170.00,Standard non-London area budget,189727.82,46442.18,26840.00,Standard budget for renting a property in the London area,24060.35,2779.65,10354.26,0.00,4671
Alan Brown,Kilmarnock and Loudoun CC,30570.00,Standard non-London area budget,27525.21,3044.79,236170.00,Standard non-London area budget,185096.84,51073.16,26840.00,Standard budget for renting a property in the London area,22814.91,4025.09,28289.50,0.00,4470
Alan Campbell,Tynemouth BC,30570.00,Standard non-London area budget,21472.39,9097.61,236170.00,Standard non-London area budget,172755.44,63414.56,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6330.00,0.00,12457.07,220.00,529
Alan Mak,Havant BC,30570.00,Standard non-London area budget,30542.51,27.49,236170.00,Standard non-London area budget,183148.50,53021.50,19090.00,Standard budget for renting a property outside the London area,12581.28,6508.72,6975.02,0.00,4484
Alan Whitehead,"Southampton, Test BC",30570.00,Standard non-London area budget,25244.31,5325.69,236170.00,Standard non-London area budget,180768.51,55401.49,26840.00,Standard budget for renting a property in the London area,20540.04,6299.96,7916.39,0.00,62
Alberto Costa,South Leicestershire CC,30570.00,Standard non-London area budget,30048.20,521.80,236170.00,Standard non-London area budget,163111.28,73058.72,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",29017.32,10062.68,11731.55,0.00,4439
Alec Shelbrooke,Elmet and Rothwell CC,30570.00,Standard non-London area budget,23470.84,7099.16,236170.00,Standard non-London area budget,185401.48,50768.52,26840.00,Standard budget for renting a property in the London area,22208.59,4631.41,5702.94,0.00,3997
Alex Burghart,Brentwood and Ongar CC,33840.00,Standard London area budget,6332.88,27507.12,252870.00,Standard London area budget,179661.98,73208.02,0.00,,0.00,0.00,0.00,0.00,4613
Alex Chalk,Cheltenham BC,30570.00,Standard non-London area budget,24616.84,5953.16,236170.00,Standard non-London area budget,226326.99,9843.01,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),1723.18,4606.82,2451.19,0.00,4481
Alex Cunningham,Stockton North BC,30570.00,Standard non-London area budget,19688.09,10881.91,236170.00,Standard non-London area budget,219165.15,17004.85,26840.00,Standard budget for renting a property in the London area,24719.76,2120.24,11516.46,0.00,4122
Alex Davies-Jones,Pontypridd CC,30570.00,Standard non-London area budget,24077.50,6492.50,236170.00,Standard non-London area budget,202911.23,33258.77,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",30786.23,8293.77,14402.65,0.00,4849
Alex Norris,Nottingham North BC,30570.00,Standard non-London area budget,27644.46,2925.54,236170.00,Standard non-London area budget,218269.18,17900.82,26840.00,Standard budget for renting a property in the London area,25627.97,1212.03,4791.00,0.00,4641
Alex Sobel,Leeds North West BC,30570.00,Standard non-London area budget,30221.51,348.49,236170.00,Standard non-London area budget,233575.84,2594.16,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",31922.03,7157.97,15485.22,0.00,4658
Alexander Stafford,Rother Valley CC,30570.00,Standard non-London area budget,29006.83,1563.17,236170.00,Standard non-London area budget,185464.25,50705.75,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",21266.88,10063.12,7649.56,0.00,4866
Alicia Kearns,Rutland and Melton CC,30570.00,Standard non-London area budget,24527.73,6042.27,236170.00,Standard non-London area budget,221468.57,14701.43,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",37547.86,1532.14,7091.88,0.00,4805
Alison McGovern,Wirral South CC,30570.00,Standard non-London area budget,21286.44,9283.56,236170.00,Standard non-London area budget,225731.90,10438.10,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",18579.34,14380.66,12780.60,0.00,4083
Alison Thewliss,Glasgow Central BC,30570.00,Standard non-London area budget,30205.74,364.26,236170.00,Standard non-London area budget,228246.15,7923.85,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",28489.03,10590.97,40112.50,2917.60,4430
Alistair Carmichael,Orkney and Shetland CC,40970.00,"Standard non-London area budget plus an uplift of £10,400, granted following an application to IPSA",39988.60,981.40,236170.00,Standard non-London area budget,186783.99,49386.01,26840.00,Standard budget for renting a property in the London area,14945.03,11894.97,43732.15,0.00,1442
Alistair Strathern,Mid Bedfordshire CC,19698.03,"Standard non-London area budget from 20 October 2023, and a start-up supplement of £6,000",18282.33,1415.70,105824.81,Standard non-London area budget from 20 October 2023,64572.04,41252.77,12026.67,Standard budget for renting a property in the London area from 20 October 2023,0.00,12026.67,1051.03,0.00,5000
Alister Jack,Dumfries and Galloway CC,30570.00,Standard non-London area budget,18420.68,12149.32,236170.00,Standard non-London area budget,202248.51,33921.49,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),2675.10,3654.90,24321.07,0.00,4619
Allan Dorans,"Ayr, Carrick and Cumnock CC",30570.00,Standard non-London area budget,19916.81,10653.19,236170.00,Standard non-London area budget,158249.96,77920.04,26840.00,Standard budget for renting a property in the London area,10812.99,16027.01,25904.32,0.00,4740
Alok Sharma,Reading West CC,30570.00,Standard non-London area budget,16669.45,13900.55,236170.00,Standard non-London area budget,152503.69,83666.31,26840.00,Standard budget for renting a property in the London area,0.00,26840.00,8954.09,912.15,4014
Alun Cairns,Vale of Glamorgan CC,30570.00,Standard non-London area budget,21990.48,8579.52,236170.00,Standard non-London area budget,174781.72,61388.28,26840.00,Standard budget for renting a property in the London area,20722.98,6117.02,13327.87,0.00,4086
Alyn Smith,Stirling CC,30570.00,Standard non-London area budget,28096.37,2473.63,236170.00,Standard non-London area budget,229771.09,6398.91,26840.00,Standard budget for renting a property in the London area,14410.00,12430.00,32989.32,0.00,4738
Amanda Milling,Cannock Chase CC,30570.00,Standard non-London area budget,27700.59,2869.41,236170.00,Standard non-London area budget,188434.54,47735.46,26840.00,Standard budget for renting a property in the London area,24356.61,2483.39,5082.60,0.00,4454
Amanda Solloway,Derby North BC,30570.00,Standard non-London area budget,25497.71,5072.29,236170.00,Standard non-London area budget,208604.15,27565.85,26840.00,Standard budget for renting a property in the London area,25854.23,985.77,16542.03,0.00,4372
Amy Callaghan,East Dunbartonshire CC,30570.00,Standard non-London area budget,22348.25,8221.75,236170.00,Standard non-London area budget,234132.62,2037.38,26840.00,Standard budget for renting a property in the London area,19833.15,7006.85,21826.65,0.00,4770
Andrea Jenkyns,Morley and Outwood CC,30570.00,Standard non-London area budget,24327.34,6242.66,236170.00,Standard non-London area budget,203384.87,32785.13,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",29409.27,3550.73,16570.74,0.00,4490
Andrea Leadsom,South Northamptonshire CC,30570.00,Standard non-London area budget,22746.22,7823.78,236170.00,Standard non-London area budget,211607.72,24562.28,0.00,,0.00,0.00,6313.03,12147.47,4117
Andrew Bowie,West Aberdeenshire and Kincardine CC,30570.00,Standard non-London area budget,27050.82,3519.18,236170.00,Standard non-London area budget,212755.01,23414.99,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",27413.32,5546.68,32363.76,0.00,4601
Andrew Bridgen,North West Leicestershire CC,30570.00,Standard non-London area budget,19575.21,10994.79,236170.00,Standard non-London area budget,182564.97,53605.03,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",31168.57,1791.43,8943.46,1674.07,4133
Andrew Griffith,Arundel and South Downs CC,30570.00,Standard non-London area budget,24236.65,6333.35,236170.00,Standard non-London area budget,225238.30,10931.70,25999.43,"Standard budget for renting a property in the London area until 16 March 2024, and for an MP who owns their property and is claiming the associated costs only (such as utilities) from 17 March 2024",466.35,25533.08,4442.78,0.00,4874
Andrew Gwynne,Denton and Reddish BC,30570.00,Standard non-London area budget,16445.59,14124.41,236170.00,Standard non-London area budget,183662.97,52507.03,26840.00,Standard budget for renting a property in the London area,24236.15,2603.85,8839.26,0.00,1506
Andrew Jones,Harrogate and Knaresborough CC,30570.00,Standard non-London area budget,22623.28,7946.72,236170.00,Standard non-London area budget,200319.75,35850.25,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),3213.75,3116.25,12819.10,0.00,3996
Andrew Lewer,Northampton South BC,30570.00,Standard non-London area budget,14176.95,16393.05,236170.00,Standard non-London area budget,230952.28,5217.72,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",29635.67,3324.33,12633.17,0.00,4659
Andrew Mitchell,Sutton Coldfield BC,30570.00,Standard non-London area budget,23500.11,7069.89,236170.00,Standard non-London area budget,167414.14,68755.86,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6226.24,103.76,3728.14,0.00,1211
Andrew Murrison,South West Wiltshire CC,30570.00,Standard non-London area budget,22976.92,7593.08,236170.00,Standard non-London area budget,142204.13,93965.87,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6324.19,5.81,2991.02,0.00,1466
Andrew Percy,Brigg and Goole CC,30570.00,Standard non-London area budget,29219.71,1350.29,236170.00,Standard non-London area budget,182291.72,53878.28,26840.00,Standard budget for renting a property in the London area,26268.12,571.88,6945.12,0.00,3939
Andrew Rosindell,Romford BC,33840.00,Standard London area budget,32356.99,1483.01,252870.00,Standard London area budget,252528.13,341.87,0.00,,0.00,0.00,3833.76,0.00,1447
Andrew Selous,South West Bedfordshire CC,30570.00,Standard non-London area budget,23039.57,7530.43,236170.00,Standard non-London area budget,232388.67,3781.33,26840.00,Standard budget for renting a property in the London area,2121.00,24719.00,9950.80,0.00,1453
Andrew Stephenson,Pendle BC,30570.00,Standard non-London area budget,28204.07,2365.93,236170.00,Standard non-London area budget,198592.58,37577.42,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6330.00,0.00,8823.18,0.00,4044
Andrew Western,Stretford and Urmston BC,36570.00,"Standard non-London area budget, and a start-up supplement of £6,000",30476.71,6093.29,236170.00,Standard non-London area budget,205211.78,30958.22,26840.00,Standard budget for renting a property in the London area,24054.99,2785.01,12956.02,0.00,4979
Andy Carter,Warrington South BC,30570.00,Standard non-London area budget,27761.48,2808.52,236170.00,Standard non-London area budget,194219.91,41950.09,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",28031.16,4928.84,17013.20,0.00,4791
Andy McDonald,Middlesbrough BC,30570.00,Standard non-London area budget,19065.99,11504.01,236170.00,Standard non-London area budget,201595.39,34574.61,26840.00,Standard budget for renting a property in the London area,23146.84,3693.16,4659.10,0.00,4269
Andy Slaughter,Hammersmith BC,33840.00,Standard London area budget,25997.79,7842.21,252870.00,Standard London area budget,246477.68,6392.32,0.00,,0.00,0.00,115.50,0.00,1516
Angela Crawley,Lanark and Hamilton East CC,30570.00,Standard non-London area budget,26117.68,4452.32,236170.00,Standard non-London area budget,201009.95,35160.05,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",17415.19,15544.81,11715.85,0.00,4469
Angela Eagle,Wallasey BC,30570.00,Standard non-London area budget,22244.67,8325.33,236170.00,Standard non-London area budget,221369.35,14800.65,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6329.81,0.19,3735.13,0.00,491
Angela Rayner,Ashton-under-Lyne BC,30570.00,Standard non-London area budget,9749.24,20820.76,236170.00,Standard non-London area budget,156920.74,79249.26,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",35732.70,3347.30,6352.50,0.00,4356
Angela Richardson,Guildford CC,30570.00,Standard non-London area budget,18742.62,11827.38,236170.00,Standard non-London area budget,225123.11,11046.89,26840.00,Standard budget for renting a property in the London area,1937.00,24903.00,1592.90,0.00,4840
Angus MacNeil,Na h-Eileanan an Iar CC,30570.00,Standard non-London area budget,26488.94,4081.06,236170.00,Standard non-London area budget,177561.95,58608.05,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",16843.48,16116.52,44583.13,0.00,1546
Anna Firth,Southend West BC,30570.00,Standard non-London area budget,14114.05,16455.95,236170.00,Standard non-London area budget,212720.68,23449.32,19090.00,Standard budget for renting a property outside the London area,9141.17,9948.83,3212.89,0.00,4936
Anna McMorrin,Cardiff North BC,30570.00,Standard non-London area budget,25973.96,4596.04,236170.00,Standard non-London area budget,231484.73,4685.27,26840.00,Standard budget for renting a property in the London area,26085.57,754.43,10650.66,0.00,4632
Anne McLaughlin,Glasgow North East BC,30570.00,Standard non-London area budget,28775.46,1794.54,236170.00,Standard non-London area budget,224433.49,11736.51,26840.00,Standard budget for renting a property in the London area,16381.60,10458.40,37981.90,0.00,4437
Anne Morris,Newton Abbot CC,30570.00,Standard non-London area budget,27047.00,3523.00,236170.00,Standard non-London area budget,165649.42,70520.58,26840.00,Standard budget for renting a property in the London area,25776.71,1063.29,13195.41,0.00,4249
Anneliese Dodds,Oxford East BC,30570.00,Standard non-London area budget,18189.57,12380.43,236170.00,Standard non-London area budget,221296.46,14873.54,26840.00,Standard budget for renting a property in the London area,6511.00,20329.00,4338.06,0.00,4657
Anne-Marie Trevelyan,Berwick-upon-Tweed CC,30570.00,Standard non-London area budget,26059.38,4510.62,236170.00,Standard non-London area budget,213786.85,22383.15,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6309.19,20.81,8596.27,0.00,4531
Anthony Browne,South Cambridgeshire CC,30570.00,Standard non-London area budget,21804.05,8765.95,236170.00,Standard non-London area budget,228391.97,7778.03,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",19647.72,11682.28,3513.90,504.00,4801
Anthony Mangnall,Totnes CC,30570.00,Standard non-London area budget,24709.48,5860.52,236170.00,Standard non-London area budget,184022.41,52147.59,19090.00,Standard budget for renting a property outside the London area,19089.94,0.06,9306.04,0.00,4762
Antony Higginbotham,Burnley BC,30570.00,Standard non-London area budget,21712.94,8857.06,236170.00,Standard non-London area budget,208527.57,27642.43,26840.00,Standard budget for renting a property in the London area,19274.82,7565.18,13747.99,0.00,4833
Anum Qaisar,Airdrie and Shotts CC,30570.00,Standard non-London area budget,24026.22,6543.78,236170.00,Standard non-London area budget,235838.82,331.18,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,38947.90,0.00,4917
Apsana Begum,Poplar and Limehouse BC,33840.00,Standard London area budget,24014.74,9825.26,252870.00,Standard London area budget,252001.08,868.92,0.00,,0.00,0.00,351.27,0.00,4790
Ashley Dalton,West Lancashire CC,36570.00,"Standard non-London area budget, and a start-up supplement of £6,000",29113.80,7456.20,236170.00,Standard non-London area budget,193904.42,42265.58,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",31285.25,1674.75,14089.74,0.00,4981
Bambos Charalambous,"Enfield, Southgate BC",33840.00,Standard London area budget,32957.26,882.74,252870.00,Standard London area budget,252868.26,1.74,0.00,,0.00,0.00,353.85,0.00,4610
Barbara Keeley,Worsley and Eccles South CC,30570.00,Standard non-London area budget,25287.95,5282.05,236170.00,Standard non-London area budget,210520.14,25649.86,0.00,,0.00,0.00,6179.51,0.00,1588
Barry Gardiner,Brent North BC,33840.00,Standard London area budget,15553.06,18286.94,252870.00,Standard London area budget,224686.50,28183.50,0.00,,0.00,0.00,0.00,0.00,146
Barry Sheerman,Huddersfield BC,30570.00,Standard non-London area budget,19560.05,11009.95,236170.00,Standard non-London area budget,222082.50,14087.50,19090.00,Standard budget for renting a property outside the London area,693.00,18397.00,9154.69,0.00,411
Bell Ribeiro-Addy,Streatham BC,33840.00,Standard London area budget,33203.65,636.35,252870.00,Standard London area budget,251210.28,1659.72,0.00,,0.00,0.00,0.00,550.00,4764
Ben Bradley,Mansfield CC,30570.00,Standard non-London area budget,17832.45,12737.55,236170.00,Standard non-London area budget,198623.28,37546.72,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",4375.81,34704.19,5753.47,0.00,4663
Ben Bradshaw,Exeter BC,30570.00,Standard non-London area budget,13955.09,16614.91,236170.00,Standard non-London area budget,206615.74,29554.26,19090.00,Standard budget for renting a property outside the London area,15235.56,3854.44,2835.98,0.00,230
Ben Everitt,Milton Keynes North CC,30570.00,Standard non-London area budget,15997.42,14572.58,236170.00,Standard non-London area budget,201873.48,34296.52,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",44019.53,1180.47,7784.62,0.00,4836
Ben Lake,Ceredigion CC,30570.00,Standard non-London area budget,19314.59,11255.41,236170.00,Standard non-London area budget,207887.36,28282.64,26840.00,Standard budget for renting a property in the London area,0.00,26840.00,2886.90,0.00,4630
Ben Spencer,Runnymede and Weybridge CC,33840.00,Standard London area budget,25137.88,8702.12,252870.00,Standard London area budget,227060.11,25809.89,0.00,,0.00,0.00,4780.68,0.00,4785
Ben Wallace,Wyre and Preston North CC,30570.00,Standard non-London area budget,15920.28,14649.72,236170.00,Standard non-London area budget,168743.49,67426.51,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",31305.27,24.73,6110.55,0.00,1539
Bernard Jenkin,Harwich and North Essex CC,30570.00,Standard non-London area budget,11049.38,19520.62,236170.00,Standard non-London area budget,226318.15,9851.85,26840.00,Standard budget for renting a property in the London area,24063.71,2776.29,4070.83,0.00,40
Beth Winter,Cynon Valley CC,30570.00,Standard non-London area budget,28702.14,1867.86,236170.00,Standard non-London area budget,235640.30,529.70,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",37816.34,7383.66,7176.00,0.00,4809
Bill Cash,Stone CC,30570.00,Standard non-London area budget,12510.98,18059.02,236170.00,Standard non-London area budget,183693.97,52476.03,26840.00,Standard budget for renting a property in the London area,26832.00,8.00,8524.11,840.00,288
Bill Esterson,Sefton Central CC,30570.00,Standard non-London area budget,21586.45,8983.55,236170.00,Standard non-London area budget,221387.14,14782.86,26840.00,Standard budget for renting a property in the London area,17827.30,9012.70,14195.90,0.00,4061
Bill Wiggin,North Herefordshire CC,30570.00,Standard non-London area budget,16496.21,14073.79,236170.00,Standard non-London area budget,198228.17,37941.83,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),4067.15,2262.85,5508.39,0.00,1428
Bim Afolami,Hitchin and Harpenden CC,30570.00,Standard non-London area budget,27349.47,3220.53,236170.00,Standard non-London area budget,234158.44,2011.56,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",43021.83,2178.17,7879.06,864.00,4639
Bob Blackman,Harrow East BC,33840.00,Standard London area budget,33824.25,15.75,252870.00,Standard London area budget,252870.00,0.00,0.00,,0.00,0.00,1947.66,0.00,4005
Bob Neill,Bromley and Chislehurst BC,33840.00,Standard London area budget,17581.83,16258.17,252870.00,Standard London area budget,202017.33,50852.67,0.00,,0.00,0.00,275.10,0.00,1601
Bob Seely,Isle of Wight CC,30570.00,Standard non-London area budget,29356.03,1213.97,236170.00,Standard non-London area budget,195649.05,40520.95,19090.00,Standard budget for renting a property outside the London area,14956.33,4133.67,9746.98,0.00,4681
Bob Stewart,Beckenham BC,33840.00,Standard London area budget,19385.49,14454.51,252870.00,Standard London area budget,252594.38,275.62,0.00,,0.00,0.00,6920.35,0.00,3919
Boris Johnson,Uxbridge and South Ruislip BC,12389.51,Standard London area budget until 12 August 2023,980.93,11408.58,92580.82,Standard London area budget until 12 August 2023,68596.59,23984.23,0.00,,0.00,0.00,142.50,45960.60,1423
Brandon Lewis,Great Yarmouth CC,30570.00,Standard non-London area budget,28108.24,2461.76,236170.00,Standard non-London area budget,229798.25,6371.75,26840.00,Standard budget for renting a property in the London area,26837.73,2.27,2181.51,0.00,4009
Brendan Clarke-Smith,Bassetlaw CC,30570.00,Standard non-London area budget,24194.88,6375.12,236170.00,Standard non-London area budget,218539.02,17630.98,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",18735.15,20344.85,18962.23,0.00,4756
Brendan O'Hara,Argyll and Bute CC,30570.00,Standard non-London area budget,24893.65,5676.35,236170.00,Standard non-London area budget,229940.11,6229.89,26840.00,Standard budget for renting a property in the London area,25448.01,1391.99,42502.68,0.00,4371
Bridget Phillipson,Houghton and Sunderland South BC,30570.00,Standard non-London area budget,30448.10,121.90,236170.00,Standard non-London area budget,235800.80,369.20,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6330.00,0.00,10630.41,0.00,4046
Carla Lockhart,Upper Bann CC,30570.00,Standard non-London area budget,28491.19,2078.81,236170.00,Standard non-London area budget,181668.60,54501.40,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",5468.90,27491.10,15040.10,0.00,4857
Carol Monaghan,Glasgow North West BC,30570.00,Standard non-London area budget,15003.86,15566.14,236170.00,Standard non-London area budget,210545.26,25624.74,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",11205.00,33995.00,29946.45,0.00,4443
Caroline Ansell,Eastbourne BC,30570.00,Standard non-London area budget,19595.62,10974.38,236170.00,Standard non-London area budget,221278.93,14891.07,26840.00,Standard budget for renting a property in the London area,13320.00,13520.00,3551.12,0.00,4512
Caroline Dinenage,Gosport BC,30570.00,Standard non-London area budget,23154.57,7415.43,236170.00,Standard non-London area budget,202706.59,33463.41,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",17945.79,21134.21,4850.64,0.00,4008
Caroline Johnson,Sleaford and North Hykeham CC,30570.00,Standard non-London area budget,21879.58,8690.42,236170.00,Standard non-London area budget,126846.18,109323.82,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",36990.83,8209.17,6751.99,0.00,4592
Caroline Lucas,"Brighton, Pavilion BC",30570.00,Standard non-London area budget,16388.05,14181.95,236170.00,Standard non-London area budget,235129.35,1040.65,26840.00,Standard budget for renting a property in the London area,7721.49,19118.51,7391.24,0.00,3930
Caroline Nokes,Romsey and Southampton North CC,30570.00,Standard non-London area budget,13850.72,16719.28,236170.00,Standard non-London area budget,169531.88,66638.12,26840.00,Standard budget for renting a property in the London area,14796.26,12043.74,11940.16,0.00,4048
Carolyn Harris,Swansea East BC,30570.00,Standard non-London area budget,28081.18,2488.82,236170.00,Standard non-London area budget,230827.77,5342.23,26840.00,Standard budget for renting a property in the London area,26014.39,825.61,9244.75,0.00,4480
Cat Smith,Lancaster and Fleetwood CC,30570.00,Standard non-London area budget,14564.57,16005.43,236170.00,Standard non-London area budget,201169.14,35000.86,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",25258.74,7701.26,11549.75,912.15,4436
Catherine McKinnell,Newcastle upon Tyne North BC,30570.00,Standard non-London area budget,29139.97,1430.03,236170.00,Standard non-London area budget,198335.43,37834.57,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",23053.81,22146.19,11473.54,0.00,4125
Catherine West,Hornsey and Wood Green BC,33840.00,Standard London area budget,17348.89,16491.11,252870.00,Standard London area budget,232588.57,20281.43,0.00,,0.00,0.00,1257.16,912.15,4523
Charles Walker,Broxbourne BC,33840.00,Standard London area budget,6339.16,27500.84,252870.00,Standard London area budget,188500.34,64369.66,0.00,,0.00,0.00,55.40,0.00,1493
Charlotte Nichols,Warrington North BC,30570.00,Standard non-London area budget,20066.47,10503.53,236170.00,Standard non-London area budget,230379.84,5790.16,26840.00,Standard budget for renting a property in the London area,24874.50,1965.50,4768.87,0.00,4799
Cherilyn Mackrory,Truro and Falmouth CC,30570.00,Standard non-London area budget,26517.25,4052.75,236170.00,Standard non-London area budget,204832.35,31337.65,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",27721.53,5238.47,15223.60,0.00,4758
Chinyelu Onwurah,Newcastle upon Tyne Central BC,30570.00,Standard non-London area budget,23668.60,6901.40,236170.00,Standard non-London area budget,216314.77,19855.23,19343.15,"Standard budget for renting a property outside the London area plus an uplift of £253.15, granted following an application to IPSA",19114.71,228.44,14172.50,816.00,4124
Chloe Smith,Norwich North BC,30570.00,Standard non-London area budget,19454.13,11115.87,236170.00,Standard non-London area budget,217124.17,19045.83,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",19711.95,11618.05,5994.26,0.00,1609
Chris Bryant,Rhondda CC,30570.00,Standard non-London area budget,29068.86,1501.14,236170.00,Standard non-London area budget,229251.75,6918.25,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6329.43,0.57,19170.50,0.00,1446
Chris Clarkson,Heywood and Middleton CC,30570.00,Standard non-London area budget,19333.13,11236.87,236170.00,Standard non-London area budget,214328.84,21841.16,26840.00,Standard budget for renting a property in the London area,22445.00,4395.00,9450.67,0.00,4835
Chris Davies,Brecon and Radnorshire CC,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,4376
Chris Elmore,Ogmore CC,30570.00,Standard non-London area budget,26984.67,3585.33,236170.00,Standard non-London area budget,235468.09,701.91,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",31343.07,1616.93,22703.19,0.00,4572
Chris Evans,Islwyn CC,30570.00,Standard non-London area budget,21362.31,9207.69,236170.00,Standard non-London area budget,203574.77,32595.23,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",13309.97,25770.03,7051.65,95.00,4040
Chris Grayling,Epsom and Ewell BC,33840.00,Standard London area budget,10276.85,23563.15,252870.00,Standard London area budget,156353.21,96516.79,0.00,,0.00,0.00,529.80,0.00,1413
Chris Green,Bolton West CC,30570.00,Standard non-London area budget,29563.24,1006.76,236170.00,Standard non-London area budget,184951.70,51218.30,26840.00,Standard budget for renting a property in the London area,16826.98,10013.02,15046.12,912.15,4398
Chris Hazzard,South Down CC,30570.00,Standard non-London area budget,27886.33,2683.67,236170.00,Standard non-London area budget,207295.05,28874.95,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",1770.00,31190.00,10710.70,0.00,4636
Chris Heaton-Harris,Daventry CC,30570.00,Standard non-London area budget,17088.75,13481.25,236170.00,Standard non-London area budget,187030.75,49139.25,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,3541.91,1368.00,3977
Chris Law,Dundee West BC,30570.00,Standard non-London area budget,28724.85,1845.15,236170.00,Standard non-London area budget,218304.89,17865.11,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,35493.62,0.00,4403
Chris Loder,West Dorset CC,30570.00,Standard non-London area budget,26545.56,4024.44,236170.00,Standard non-London area budget,234820.66,1349.34,26840.00,Standard budget for renting a property in the London area,17600.00,9240.00,13770.72,0.00,4751
Chris Philp,Croydon South BC,33840.00,Standard London area budget,10555.88,23284.12,252870.00,Standard London area budget,183333.84,69536.16,0.00,,0.00,0.00,0.00,0.00,4503
