mps_name,constituency,office_budget,reason_for_budget_set,office_spend,remaining_office_budget,staffing_budget,reason_for_budget_staffing_budget,staffing_spend,remaining_staffing_budget,accommodation_budget,reason_for_budget_accommodation_budget,accommodation_spend,remaining_accommodation_budget,travel_and_subsistence_uncapped,other_costs_uncapped,pid
Kevin Hollinrake,Thirsk and Malton CC,30570.00,Standard non-London area budget,11456.79,19113.21,236170.00,Standard non-London area budget,141935.51,94234.49,26840.00,Standard budget for renting a property in the London area,563.00,26277.00,11194.68,0.00,4474
Khalid Mahmood,"Birmingham, Perry Barr BC",30570.00,Standard non-London area budget,29144.40,1425.60,236170.00,Standard non-London area budget,216306.42,19863.58,26840.00,Standard budget for renting a property in the London area,26839.92,0.08,3834.00,0.00,1392
Kieran Mullan,Crewe and Nantwich CC,30570.00,Standard non-London area budget,20084.16,10485.84,236170.00,Standard non-London area budget,221001.20,15168.80,19090.00,Standard budget for renting a property outside the London area,14287.62,4802.38,12189.47,210.00,4860
Kim Johnson,"Liverpool, Riverside BC",30570.00,Standard non-London area budget,25833.71,4736.29,236170.00,Standard non-London area budget,214911.00,21259.00,26840.00,Standard budget for renting a property in the London area,25752.31,1087.69,12299.71,0.00,4824
Kim Leadbeater,Batley and Spen BC,30570.00,Standard non-London area budget,22287.05,8282.95,236170.00,Standard non-London area budget,224705.47,11464.53,26840.00,Standard budget for renting a property in the London area,22761.00,4079.00,6727.64,0.00,4923
Kirsten Oswald,East Renfrewshire CC,30570.00,Standard non-London area budget,19921.29,10648.71,236170.00,Standard non-London area budget,186984.91,49185.09,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",25008.00,7952.00,21775.12,0.00,4413
Kirsty Blackman,Aberdeen North BC,30570.00,Standard non-London area budget,26403.85,4166.15,236170.00,Standard non-London area budget,169859.17,66310.83,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",36664.88,2415.12,21858.72,0.00,4357
Kit Malthouse,North West Hampshire CC,30570.00,Standard non-London area budget,10981.14,19588.86,236170.00,Standard non-London area budget,217602.77,18567.23,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",30909.71,420.29,1468.15,0.00,4495
Kwasi Kwarteng,Spelthorne BC,33840.00,Standard London area budget,5199.07,28640.93,252870.00,Standard London area budget,126764.99,126105.01,0.00,,0.00,0.00,155.27,0.00,4134
Laura Farris,Newbury CC,30570.00,Standard non-London area budget,22868.11,7701.89,236170.00,Standard non-London area budget,222427.45,13742.55,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",16205.32,22874.68,7817.26,720.00,4826
Laura Trott,Sevenoaks CC,33840.00,Standard London area budget,14750.72,19089.28,252870.00,Standard London area budget,233391.87,19478.13,0.00,,0.00,0.00,663.88,0.00,4780
Laurence Robertson,Tewkesbury CC,30570.00,Standard non-London area budget,23022.21,7547.79,236170.00,Standard non-London area budget,211492.70,24677.30,26840.00,Standard budget for renting a property in the London area,24770.31,2069.69,14785.79,0.00,253
Layla Moran,Oxford West and Abingdon CC,30570.00,Standard non-London area budget,22749.52,7820.48,236170.00,Standard non-London area budget,227485.67,8684.33,26840.00,Standard budget for renting a property in the London area,25315.69,1524.31,3362.70,0.00,4656
Lee Anderson,Ashfield CC,30570.00,Standard non-London area budget,16564.58,14005.42,236170.00,Standard non-London area budget,179023.64,57146.36,26840.00,Standard budget for renting a property in the London area,22197.85,4642.15,9692.50,0.00,4743
Lee Rowley,North East Derbyshire CC,30570.00,Standard non-London area budget,25538.32,5031.68,236170.00,Standard non-London area budget,234261.25,1908.75,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),2153.43,4176.57,11254.34,0.00,4652
Leo Docherty,Aldershot BC,30570.00,Standard non-London area budget,30570.00,0.00,236170.00,Standard non-London area budget,192774.18,43395.82,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",18561.64,20518.36,1775.62,234.28,4600
Lia Nici,Great Grimsby BC,30570.00,Standard non-London area budget,16727.17,13842.83,236170.00,Standard non-London area budget,187589.43,48580.57,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",29694.83,3265.17,7771.40,0.00,4851
Liam Byrne,"Birmingham, Hodge Hill BC",30570.00,Standard non-London area budget,28918.04,1651.96,236170.00,Standard non-London area budget,229470.43,6699.57,19090.00,Standard budget for renting a property outside the London area,17817.40,1272.60,9290.08,0.00,1171
Liam Fox,North Somerset CC,30570.00,Standard non-London area budget,14952.77,15617.23,236170.00,Standard non-London area budget,174771.25,61398.75,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,5054.19,0.00,223
Lilian Greenwood,Nottingham South BC,30570.00,Standard non-London area budget,24659.97,5910.03,236170.00,Standard non-London area budget,205027.93,31142.07,26840.00,Standard budget for renting a property in the London area,25433.32,1406.68,4878.57,0.00,4029
Lindsay Hoyle,Chorley CC,30570.00,Standard non-London area budget,23906.99,6663.01,236170.00,Standard non-London area budget,201888.13,34281.87,0.00,,0.00,0.00,17558.38,0.00,467
Lisa Cameron,"East Kilbride, Strathaven and Lesmahagow CC",30570.00,Standard non-London area budget,22990.32,7579.68,236170.00,Standard non-London area budget,192301.55,43868.45,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",28616.54,10463.46,32579.17,0.00,4412
Lisa Nandy,Wigan CC,30570.00,Standard non-London area budget,22039.36,8530.64,236170.00,Standard non-London area budget,181468.17,54701.83,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",9907.22,23052.78,8353.64,0.00,4082
Liz Kendall,Leicester West BC,30570.00,Standard non-London area budget,28879.88,1690.12,236170.00,Standard non-London area budget,183049.41,53120.59,19090.00,Standard budget for renting a property outside the London area,14519.76,4570.24,5602.67,0.00,4026
Liz Saville-Roberts,Dwyfor Meirionnydd CC,30570.00,Standard non-London area budget,27315.28,3254.72,236170.00,Standard non-London area budget,221852.12,14317.88,26840.00,Standard budget for renting a property in the London area,24232.68,2607.32,11563.87,214.26,4521
